ds,yhat,yhat_lower,yhat_upper,y,y-yhat
2021-03-06 04:30:00,6207.779872214211,6062.696631806714,6349.215466643299,6046.85,-160.92987221421026
2021-03-06 05:00:00,6354.714643898717,6213.764494347679,6488.564062033064,6155.92,-198.79464389871737
2021-03-06 05:30:00,6499.041451916094,6359.864703950933,6636.190376187807,6329.38,-169.66145191609394
2021-03-06 06:00:00,6704.239093856953,6559.446242687444,6848.196740515516,6493.98,-210.25909385695377
2021-03-06 06:30:00,6845.997916771184,6704.2158326187955,6985.800733562848,6661.97,-184.0279167711833
2021-03-06 07:00:00,6978.651958836739,6839.14460659742,7113.64827139968,6856.13,-122.52195883673903
2021-03-06 07:30:00,7146.265350177196,7006.234620594893,7295.764122625069,6982.94,-163.32535017719601
2021-03-06 08:00:00,7200.032435119018,7058.733309289106,7339.727277093499,6945.45,-254.58243511901856
2021-03-06 08:30:00,7038.0520044478635,6904.71167661807,7186.750455940261,6834.15,-203.90200444786387
2021-03-06 09:00:00,6858.460347642838,6723.436044920681,6995.624285324683,6617.99,-240.47034764283853
2021-03-06 09:30:00,6581.14008348473,6448.989694590383,6727.460503000367,6405.27,-175.87008348472955
2021-03-06 10:00:00,6374.438619613865,6235.20514338526,6517.062368414007,6236.09,-138.34861961386468
2021-03-06 10:30:00,6249.711842625582,6115.0913138408105,6390.015847243097,6209.5,-40.211842625581994
2021-03-06 11:00:00,6321.509086811543,6188.203200154939,6460.341452113831,6273.68,-47.829086811542766
2021-03-06 11:30:00,6459.40285041864,6309.662427780909,6599.982052359884,6232.85,-226.55285041863954
2021-03-06 12:00:00,6376.276200795743,6245.132366665796,6519.957781120032,6149.75,-226.52620079574262
2021-03-06 12:30:00,6264.956120764447,6126.435960170563,6393.448157151021,6018.13,-246.8261207644473
2021-03-06 13:00:00,6111.777838247777,5981.451026052171,6244.70198365176,5934.48,-177.2978382477777
2021-03-06 13:30:00,6061.105849737549,5924.692767599678,6199.521810372084,5912.13,-148.97584973754874
2021-03-06 14:00:00,6092.981577258941,5945.923205373491,6229.233237804404,5955.61,-137.37157725894122
